date,open,close,high,low,volume
2023-12-07,161.8,160.35,161.8,158.25,51346222
2023-12-08,161.35,158.75,162.35,157.3,22869782
2023-12-11,159.8,161.25,163.25,159.15,22941648
2023-12-12,162.45,160.8,162.8,160.0,16306341
2023-12-13,160.2,162.85,163.9,159.4,16804086
2023-12-14,163.1,164.0,164.35,162.6,13887946
2023-12-15,166.0,169.05,170.2,165.25,39766631
2023-12-18,171.75,172.7,174.35,169.45,35901409
2023-12-19,172.9,173.05,174.4,171.1,14732129
2023-12-20,173.75,167.25,176.3,166.15,24511237
2023-12-21,165.0,170.65,171.85,164.05,22646625
2023-12-22,171.95,174.8,175.25,169.4,19640046
2023-12-26,178.0,181.95,184.5,178.0,52736391
2023-12-27,184.0,180.2,184.9,179.1,26206240
2023-12-28,181.5,182.7,184.25,180.8,20453485
2023-12-29,182.95,184.2,185.2,181.1,19305150
2024-01-01,184.8,184.95,187.0,184.45,18008785
2024-01-02,186.0,182.15,186.2,179.75,22790965
2024-01-03,182.35,182.35,184.7,180.6,18738690
2024-01-04,182.5,186.9,187.65,182.5,25403124
2024-01-05,187.7,185.95,188.65,184.05,22023938
2024-01-08,186.75,183.6,187.5,183.2,11472441
2024-01-09,184.9,184.65,186.7,184.2,11550790
2024-01-10,184.4,185.6,186.0,182.05,8701594
2024-01-11,187.0,184.35,187.65,183.8,10942508
2024-01-12,185.35,183.5,185.5,183.1,8853157
2024-01-15,184.9,188.65,189.9,184.1,24570393
2024-01-16,188.9,186.8,190.25,185.1,16471601
2024-01-17,186.3,185.65,188.5,183.8,16350370
2024-01-18,185.65,188.2,189.0,180.0,24831623
2024-01-19,190.0,191.85,193.7,190.0,22303305
2024-01-20,193.0,193.4,195.0,190.7,12654436
2024-01-23,195.25,187.1,195.5,184.4,26628471
2024-01-24,186.8,189.25,190.2,184.0,14742783
2024-01-25,190.75,189.7,192.0,188.3,12592882
2024-01-29,190.0,190.9,193.7,187.55,28919512
2024-01-30,192.0,187.9,192.35,187.0,20894159
2024-01-31,188.2,185.9,189.1,184.85,23757415
2024-02-01,187.7,183.4,188.4,181.55,27835431
2024-02-02,185.0,184.6,187.75,183.85,27710061
2024-02-05,187.0,181.55,187.0,178.8,23880364
2024-02-06,182.4,183.1,183.55,180.7,12134363
2024-02-07,184.15,181.7,184.15,179.65,14192151
2024-02-08,182.2,184.8,187.1,181.75,29094709
2024-02-09,185.5,180.65,185.7,176.5,21081134
2024-02-12,181.25,174.65,183.1,173.65,19640568
2024-02-13,174.75,176.6,176.9,171.75,13961795
2024-02-14,177.25,181.6,182.15,175.3,23449380
2024-02-15,183.0,185.95,186.3,182.6,17335763
2024-02-16,189.0,188.3,190.4,186.85,29843059
2024-02-19,189.95,188.75,192.5,188.3,25343215
2024-02-20,189.1,190.65,191.45,186.25,17809897
2024-02-21,191.3,188.7,192.55,187.0,17870782
2024-02-22,189.75,194.75,196.0,188.7,31992371
2024-02-23,196.3,205.3,207.0,195.95,76179371
2024-02-26,205.65,204.25,206.9,202.8,27013630
2024-02-27,203.55,205.35,209.0,203.1,28877205
2024-02-28,206.2,205.65,209.0,201.45,38996363
2024-02-29,205.45,205.1,205.9,199.75,24059731
2024-03-01,205.95,205.6,208.05,204.8,12949604
2024-03-02,206.0,206.75,207.7,205.9,1497553
2024-03-04,207.95,209.6,212.95,206.35,34272251
2024-03-05,211.0,210.75,213.75,209.85,24964592
2024-03-06,211.8,210.45,213.45,205.6,26236957
2024-03-07,211.45,215.2,216.8,211.15,41484038
2024-03-11,216.45,212.55,216.45,211.9,22800967
2024-03-12,211.0,204.25,211.35,201.5,34719550
2024-03-13,204.1,190.3,205.6,188.2,41620003
2024-03-14,189.0,195.25,197.15,186.25,34622781
2024-03-15,196.75,188.85,196.75,179.1,88781999
2024-03-18,190.0,189.9,192.0,187.05,22999225
2024-03-19,190.0,185.4,192.45,184.55,27819341
2024-03-20,186.9,187.45,187.95,182.5,16235947
2024-03-21,190.0,196.85,197.5,190.0,43152810
2024-03-22,196.5,197.5,198.95,192.75,31321524
2024-03-26,197.0,199.4,200.5,195.95,25723863
2024-03-27,200.0,199.45,203.95,198.0,37817130
2024-03-28,200.5,201.5,202.45,199.0,17425093
2024-04-01,205.0,211.1,212.75,203.75,45840349
2024-04-02,213.75,221.0,222.65,212.6,93873385
2024-04-03,221.7,221.5,225.45,218.85,47658754
2024-04-04,223.5,220.3,223.9,218.25,18279026
2024-04-05,220.35,224.5,226.0,218.75,25365958
2024-04-08,225.55,223.55,225.7,222.1,16422350
2024-04-09,224.8,228.15,228.9,221.2,29048035
2024-04-10,229.0,228.75,232.85,226.5,37218693
2024-04-12,231.3,233.5,235.4,230.55,57174716
2024-04-15,230.0,234.45,238.0,226.0,51676313
2024-04-16,232.5,233.45,236.95,230.0,32508661
2024-04-18,235.6,231.15,237.4,229.2,18623078
2024-04-19,228.55,233.3,234.5,225.7,27227241
2024-04-22,236.0,233.3,236.15,232.3,17549094
2024-04-23,234.25,234.35,236.1,231.75,19202860
2024-04-24,235.25,236.5,239.15,234.1,33392337
2024-04-25,236.4,237.6,240.05,235.45,16197834
2024-04-26,238.5,238.95,241.65,237.9,20473627
2024-04-29,240.15,235.4,240.2,234.85,19876408
2024-04-30,236.3,233.75,237.3,233.2,14514418
2024-05-02,234.7,234.75,237.4,230.75,19171145
2024-05-03,237.1,234.1,238.0,231.15,15782582
2024-05-06,235.1,231.85,235.85,230.0,32422021
2024-05-07,232.5,227.4,235.8,225.45,26418769
2024-05-08,227.2,231.6,232.65,224.6,18952985
2024-05-09,234.5,226.2,238.2,225.3,35229412
2024-05-10,227.9,227.1,228.5,223.15,18478580
2024-05-13,228.4,224.75,228.7,221.0,32874369
2024-05-14,225.75,230.95,231.9,225.75,23191411
2024-05-15,231.8,232.85,234.5,229.55,33045920
2024-05-16,234.75,237.9,240.0,227.5,55556781
2024-05-17,241.0,248.2,249.65,237.85,82231249
2024-05-18,251.5,258.8,260.6,250.05,23619459
2024-05-21,283.0,274.15,283.0,271.05,127035921
2024-05-22,277.0,283.6,284.5,264.3,85801218
2024-05-23,286.3,288.5,293.3,283.2,70631009
2024-05-24,288.0,297.2,299.9,286.0,63609206
2024-05-27,301.75,294.45,303.2,289.65,49890427
2024-05-28,295.7,289.1,295.75,285.05,33893805
2024-05-29,285.4,292.15,293.95,285.0,31645904
2024-05-30,293.0,290.65,296.3,289.65,42769599
2024-05-31,294.2,295.95,297.2,286.3,51397345
2024-06-03,323.0,318.65,323.0,309.3,67256146
2024-06-04,312.0,255.55,312.0,230.05,268052657
2024-06-05,264.5,260.35,264.5,230.0,193487058
2024-06-06,267.0,273.65,281.5,267.0,95502477
2024-06-07,274.0,283.2,284.55,268.7,60109827
2024-06-10,288.9,283.4,292.0,281.1,42363741
2024-06-11,287.0,286.2,290.5,285.35,32269277
2024-06-12,287.9,290.5,293.0,286.05,33990756
2024-06-13,293.9,300.9,303.0,287.05,49511492
2024-06-14,305.0,309.6,310.5,301.5,67366844
2024-06-18,313.0,318.25,321.0,312.25,64859245
2024-06-19,319.9,309.3,319.9,304.1,58698689
2024-06-20,309.8,311.9,313.35,302.25,39505506
2024-06-21,312.7,304.95,314.0,304.1,37620968
2024-06-24,304.8,309.75,311.9,297.45,39139609
2024-06-25,310.9,309.7,314.95,309.2,29124110
2024-06-26,310.0,306.85,311.5,305.85,24238007
2024-06-27,306.1,304.5,308.15,301.2,39996580
2024-06-28,306.0,305.9,309.8,302.75,24256902
2024-07-01,310.95,307.65,312.5,305.85,39495237
2024-07-02,309.0,306.1,309.0,303.0,23974162
2024-07-03,307.0,314.5,315.45,305.75,44919849
2024-07-04,317.4,317.35,318.5,313.05,35591681
2024-07-05,317.65,324.05,326.8,314.5,63125211
2024-07-08,328.45,334.6,335.8,325.6,70983243
2024-07-09,338.0,334.8,339.35,328.7,52225572
2024-07-10,340.0,333.85,340.5,324.15,46779965
2024-07-11,335.5,335.5,338.2,333.0,31919433
2024-07-12,336.9,333.1,337.5,328.1,24517961
2024-07-15,336.0,331.4,336.05,331.0,22021926
2024-07-16,333.25,326.15,334.4,324.5,26585927
2024-07-18,326.5,313.55,326.7,312.3,48043715
2024-07-19,309.9,306.3,316.9,305.0,43313606
2024-07-22,306.0,312.3,314.7,297.3,39386992
2024-07-23,317.0,301.45,317.0,281.1,76513131
2024-07-24,302.5,300.1,306.5,299.3,24099148
2024-07-25,297.95,301.45,303.4,293.4,27820556
2024-07-26,303.8,309.9,310.5,302.0,24512844
2024-07-29,312.8,321.35,325.6,310.85,51391698
2024-07-30,325.2,318.1,326.55,317.6,41111245
2024-07-31,319.9,316.05,320.6,315.45,25709971
2024-08-01,317.7,311.15,317.7,308.05,28141436
2024-08-02,305.3,302.95,308.7,301.7,26155604
2024-08-05,289.85,290.25,297.45,285.0,50390560
2024-08-06,292.0,287.25,302.6,286.35,39171936
2024-08-07,295.5,300.2,301.0,289.8,22199473
2024-08-08,301.0,298.25,302.7,297.15,21963656
2024-08-09,302.5,302.2,305.0,300.65,15551076
2024-08-12,299.0,301.4,303.65,298.25,15361379
2024-08-13,302.0,296.15,302.65,295.4,14746085
2024-08-14,296.15,293.7,297.05,290.65,16641055
2024-08-16,296.5,303.3,303.9,296.0,21353408
2024-08-19,304.8,302.15,305.55,301.1,12232725
2024-08-20,302.15,303.15,304.5,297.8,14183642
2024-08-21,303.0,305.4,306.75,302.55,11862616
2024-08-22,306.4,304.5,306.9,303.5,13074829
2024-08-23,305.5,306.0,309.2,304.1,21891698
2024-08-26,308.7,306.7,308.9,305.8,15280637
2024-08-27,306.6,300.9,307.45,299.6,16873099
2024-08-28,301.05,299.95,304.5,299.5,14005947
2024-08-29,299.35,296.2,301.05,292.1,19185385
2024-08-30,296.8,299.3,302.15,294.35,28684991
2024-09-02,301.95,296.9,301.95,295.05,11713172
2024-09-03,300.0,297.15,301.35,296.75,13971488
2024-09-04,297.15,298.95,301.9,295.3,17937646
2024-09-05,299.0,290.6,299.5,290.0,26342723
2024-09-06,290.35,283.6,290.35,282.05,30062372
2024-09-09,282.0,281.55,284.5,275.75,29170063
2024-09-10,282.5,285.75,288.35,282.3,19982334
2024-09-11,286.45,288.05,290.45,284.35,21650737
2024-09-12,290.9,291.7,292.5,289.0,16102095
2024-09-13,293.0,289.95,294.0,289.6,12330463
2024-09-16,290.9,290.4,292.2,288.4,9184637
2024-09-17,290.5,284.3,290.85,283.9,15946216
2024-09-18,284.9,282.85,286.0,280.4,10450571
2024-09-19,284.0,272.7,284.85,267.1,44560220
2024-09-20,274.0,277.35,279.4,272.85,38501362
2024-09-23,280.0,286.3,286.7,278.65,19445968
2024-09-24,286.3,291.8,293.4,284.55,25346532
2024-09-25,294.0,289.85,295.0,287.65,19263084
2024-09-26,290.6,290.5,291.9,289.05,18343882
2024-09-27,292.35,293.45,294.85,289.2,208588855
2024-09-30,293.45,285.1,294.6,283.6,32695169
2024-10-01,285.1,283.95,286.6,282.55,13883476
2024-10-03,275.05,278.7,286.3,275.05,27321529
